39:44.7,ERROR,MrSparklyWPF.ViewModels.EmployeesListViewModel,No connection string named 'MrSparklyEntities' could be found in the application config file.,MrSparklyWPF.ViewModels.EmployeesListViewModel..ctor,Added connection string to app.config
2015-10-20 15:03:24.4683,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:06:11.9250,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:06:12.1161,ERROR,MrSparklyWPF.Employees.EmployeesListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Employees.EmployeesListViewModel..ctor,
2015-10-20 15:06:12.3073,ERROR,MrSparklyWPF.Products.ProductsListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.Products.ProductsListViewModel..ctor,
2015-10-20 15:06:12.6045,ERROR,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel..ctor,
2015-10-20 15:06:12.7616,ERROR,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel..ctor,
2015-10-20 15:06:12.9437,ERROR,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.PurchaseOrders.PurchaseOrdersListViewModel..ctor,
2015-10-20 15:06:13.1629,ERROR,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel..ctor,
2015-10-20 15:06:13.3740,ERROR,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel..ctor,
2015-10-20 15:06:13.5151,ERROR,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel,Object reference not set to an instance of an object.,MrSparklyWPF.SalesOrders.SalesOrdersListViewModel..ctor,
